common_name,scientific_name,scientific_name_url,status,esa_listing_date,publication_date,publication_page,geo,proposed_rule_economic_costs,proposed_rule_national_security,proposed_rule_other_exclusions,final_rule_economic_exclusions,final_rule_national_security,final_rule_other_exclusions
Conservancy fairy shrimp,Branchinecta conservatio,https://ecos.fws.gov/ecp/species/8246,Endangered,09-19-1994,02-10-2006,71 FR 7118 7316,US,0,0,1,1,0,1
Florida semaphore Cactus,Consolea corallicola,https://ecos.fws.gov/ecp/species/4356,Endangered,11-25-2013,01-22-2016,81 FR 3865 3925,US,0,0,0,0,0,0
Oregon chub,Oregonichthys crameri,https://ecos.fws.gov/ecp/species/5635,Recovery,10-18-1993,03-10-2010,75 FR 11010 11067,US,0,0,0,0,0,0
Oregon silverspot butterfly,Speyeria zerene hippolyta,https://ecos.fws.gov/ecp/species/6930,Threatened,07-02-1980,07-02-1980,45 FR 44935 44939,US,0,0,0,0,0,0
Mexican spotted owl,Strix occidentalis lucida,https://ecos.fws.gov/ecp/species/8196,Threatened,03-16-1993,08-31-2004,69 FR 53182 53298,US,1,0,1,1,0,1
Mount Graham red squirrel,Tamiasciurus hudsonicus grahamensis,https://ecos.fws.gov/ecp/species/8370,Endangered,06-03-1987,01-05-1990,55 FR 425 429,US,0,0,0,0,0,0
Spreading navarretia,Navarretia fossalis,https://ecos.fws.gov/ecp/species/1334,Threatened,10-13-1998,10-07-2010,75 FR 62192 62255,US,0,0,1,0,0,1
Holmgren milk-vetch,Astragalus holmgreniorum,https://ecos.fws.gov/ecp/species/4590,Endangered,09-28-2001,12-27-2006,71 FR 77972 78012,US,0,0,0,0,0,0
No common name,Varronia rupicola,https://ecos.fws.gov/ecp/species/6258,Threatened,10-09-2014,09-09-2014,79 FR 53315 53344,US,0,0,0,0,0,0
Modoc Sucker,Catostomus microps,https://ecos.fws.gov/ecp/species/6114,Recovery,06-11-1985,06-11-1985,50 FR 24526 24530,US,0,0,0,0,0,0
Braunton's milk-vetch,Astragalus brauntonii,https://ecos.fws.gov/ecp/species/5674,Endangered,01-29-1997,11-14-2006,71 FR 66374 66423,US,0,0,0,0,0,0
Taylor's (=whulge) Checkerspot,Euphydryas editha taylori,https://ecos.fws.gov/ecp/species/5907,Endangered,11-04-2013,10-03-2013,78 FR 61505 61589,US,0,0,1,0,0,1
White River spinedace,Lepidomeda albivallis,https://ecos.fws.gov/ecp/species/6900,Endangered,09-12-1985,09-12-1985,50 FR 37194 37198,US,0,0,0,0,0,0
Madla Cave Meshweaver,Cicurina madla,https://ecos.fws.gov/ecp/species/2467,Endangered,12-26-2000,02-14-2012,77 FR 8450 8523,US,0,0,1,0,0,1
Ash-grey paintbrush,Castilleja cinerea,https://ecos.fws.gov/ecp/species/3702,Threatened,10-14-1998,12-26-2007,72 FR 73092 73178,US,0,0,0,0,0,0
No common name,Catesbaea melanocarpa,https://ecos.fws.gov/ecp/species/722,Endangered,03-17-1999,08-28-2007,72 FR 49212 49228,US,0,0,0,0,0,0
Mountain yellow-legged frog,Rana muscosa,https://ecos.fws.gov/ecp/species/8037,Endangered,06-30-2014,08-26-2016,81 FR 59045 59119,US,0,0,0,0,0,0
Arroyo (=arroyo southwestern) toad,Anaxyrus californicus,https://ecos.fws.gov/ecp/species/3762,Endangered,12-16-1994,02-09-2011,76 FR 7245 7467,US,0,0,1,1,1,1
Georgetown Salamander,Eurycea naufragia,https://ecos.fws.gov/ecp/species/7278,Threatened,03-26-2014,01-25-2013,78 FR 5385 5403,US,0,0,1,0,0,1
Vermilion darter,Etheostoma chermocki,https://ecos.fws.gov/ecp/species/296,Endangered,11-28-2001,12-07-2010,75 FR 75913 75931,US,0,0,0,0,0,0
Santa Cruz tarplant,Holocarpha macradenia,https://ecos.fws.gov/ecp/species/6832,Threatened,03-20-2000,10-16-2002,67 FR 63968 64007,US,0,0,0,0,0,0
Alabama sturgeon,Scaphirhynchus suttkusi,https://ecos.fws.gov/ecp/species/2552,Endangered,05-05-2000,06-02-2009,74 FR 26488 26510,US,0,0,0,0,0,0
San Bernardino bluegrass,Poa atropurpurea,https://ecos.fws.gov/ecp/species/4641,Endangered,10-14-1998,08-14-2008,73 FR 47706 47767,US,0,0,0,1,0,1
Steller's Eider,Polysticta stelleri,https://ecos.fws.gov/ecp/species/1475,Threatened,06-11-1997,02-02-2001,66 FR 8850 8884,US,0,0,0,0,0,1
Poweshiek skipperling,Oarisma poweshiek,https://ecos.fws.gov/ecp/species/9161,Endangered,11-24-2014,10-01-2015,80 FR 59247 59384,US,0,0,0,0,0,1
Concho water snake,Nerodia paucimaculata,https://ecos.fws.gov/ecp/species/1239,Recovery,09-03-1986,07-08-2008,73 FR 38956 38967,US,0,0,0,0,0,0
Mariana (=aga) Crow,Corvus kubaryi,https://ecos.fws.gov/ecp/species/4744,Endangered,08-27-1984,10-28-2004,69 FR 62944 62990,US,0,0,0,0,0,1
Carolina heelsplitter,Lasmigona decorata,https://ecos.fws.gov/ecp/species/3534,Endangered,06-30-1993,07-02-2002,67 FR 44502 44522,US,0,0,0,0,0,0
Monterey spineflower,Chorizanthe pungens var. pungens,https://ecos.fws.gov/ecp/species/396,Threatened,02-04-1994,01-09-2008,73 FR 1525,US,0,0,0,0,0,0
canary rockfish,Sebastes pinniger,https://www.fisheries.noaa.gov/action/critical-habitat-puget-sound-georgia-basin-distinct-population-segments-yelloweye-rockfish,Threatened,04-13-2011,11-02-2016,81 FR 76311 76314,US,0,1,1,0,1,1
Desert pupfish,Cyprinodon macularius,https://ecos.fws.gov/ecp/species/7003,Endangered,03-31-1986,03-31-1986,51 FR 10842 10851,US,0,0,0,0,0,0
No common name,Schiedea verticillata,https://ecos.fws.gov/ecp/species/5703,Endangered,08-21-1996,05-22-2003,68 FR 28054 28075,US,0,0,0,0,0,0
Coosa moccasinshell,Medionidus parvulus,https://ecos.fws.gov/ecp/species/2575,Endangered,03-17-1993,07-01-2004,69 FR 40084 40171,US,0,0,0,0,0,0
[no common name] Beetle,Rhadine exilis,https://ecos.fws.gov/ecp/species/6942,Endangered,12-26-2000,02-14-2012,77 FR 8450 8523,US,0,0,1,0,0,1
Sacramento Orcutt grass,Orcuttia viscida,https://ecos.fws.gov/ecp/species/5507,Endangered,03-26-1997,02-10-2006,71 FR 7118 7316,US,0,0,1,1,0,1
Loggerhead sea turtle,Caretta caretta,https://ecos.fws.gov/ecp/species/1110,Threatened,07-23-1978,07-10-2014,79 FR 39755 39854,US,0,0,1,0,0,1
Smalleye Shiner,Notropis buccula,https://ecos.fws.gov/ecp/species/1774,Endangered,08-04-2014,08-04-2014,79 FR 45241 45271,US,0,0,0,0,0,0
Three Forks Springsnail,Pyrgulopsis trivialis,https://ecos.fws.gov/ecp/species/1017,Endangered,05-17-2012,04-17-2012,77 FR 23060 23092,US,0,0,0,0,0,0
Hiko White River springfish,Crenichthys baileyi grandis,https://ecos.fws.gov/ecp/species/7004,Endangered,09-27-1985,09-27-1985,50 FR 39123 39128,US,0,0,0,0,0,0
Monito gecko,Sphaerodactylus micropithecus,https://ecos.fws.gov/ecp/species/2200,Endangered,10-15-1982,10-15-1982,47 FR 46090 46093,US,,,,0,0,0
Nehe,Lipochaeta lobata var. leptophylla,https://ecos.fws.gov/ecp/species/5211,Endangered,10-29-1991,09-18-2012,77 FR 57647 57862,HI,0,0,0,0,0,0
Pilo kea lau li`i,Platydesma rostrata,https://ecos.fws.gov/ecp/species/7990,Endangered,05-13-2010,04-13-2010,75 FR 18960 19165,HI,0,0,0,0,0,0
`Oha wai,Clermontia pyrularia,https://ecos.fws.gov/ecp/species/6165,Endangered,03-04-1994,07-02-2003,68 FR 39623 39672,HI,0,0,0,1,1,1
pilo,Kadua laxiflora,https://ecos.fws.gov/ecp/species/4667,Endangered,10-08-1992,03-30-2016,81 FR 17789 18110,HI,0,0,1,0,0,1
Kio`ele,Kadua coriacea,https://ecos.fws.gov/ecp/species/5504,Endangered,05-15-1992,03-30-2016,81 FR 17789 18110,HI,0,0,1,0,0,1
Pa`iniu,Astelia waialealae,https://ecos.fws.gov/ecp/species/6880,Endangered,05-13-2010,04-13-2010,75 FR 18960 19165,HI,0,0,0,0,0,1
`Akoko,Euphorbia rockii,https://ecos.fws.gov/ecp/species/6024,Endangered,10-10-1996,09-18-2012,77 FR 57647 57862,HI,0,0,0,0,0,0
Hawaiian picture-wing fly,Drosophila mulli,https://ecos.fws.gov/ecp/species/5064,Threatened,05-09-2006,12-04-2008,73 FR 73795 73895,HI,0,0,0,0,0,0
